名称|@| 修改类型|@| 修改数量|@| 修改后数量|@| 操作员工姓名|@| 操作员工ID|@| 修改时间  
大佛像|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 00:29:45.958271
大佛像|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 00:37:18.055875
大佛像|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 00:37:47.241427
大佛像|@| remove|@| 23|@| 0|@| 陈|@| root|@| 2024-12-20 00:51:18.113295
大佛像|@| add|@| 1234|@| 1234|@| 陈|@| root|@| 2024-12-20 00:51:38.980566
大佛像2|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 00:53:46.738009
大佛像2|@| remove|@| 23|@| 0|@| 陈|@| root|@| 2024-12-20 00:53:56.627683
大佛像2|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 20:35:45.415490
大佛像2|@| add|@| 0|@| 0|@| 陈|@| root|@| 2024-12-20 20:37:05.762838
大佛像2|@| remove|@| 0|@| 0|@| 陈|@| root|@| 2024-12-20 20:38:52.582140
大佛像2|@| remove|@| 23|@| 0|@| 陈|@| root|@| 2024-12-20 20:38:58.948734
大佛像2|@| add|@| 0|@| 0|@| 陈|@| root|@| 2024-12-20 20:39:16.498243
大佛像2|@| remove|@| 0|@| 0|@| 陈|@| root|@| 2024-12-20 20:41:00.870754
大佛像2|@| add|@| 11234|@| 11234|@| 陈|@| root|@| 2024-12-20 20:41:23.595663
大佛像2|@| remove|@| 11234|@| 0|@| 陈|@| root|@| 2024-12-20 20:41:59.252360
大佛像2|@| add|@| 0|@| 0|@| 陈|@| root|@| 2024-12-20 20:42:06.907941
大佛像3|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 20:47:03.324513
大佛像4|@| add|@| 0|@| 0|@| 陈|@| root|@| 2024-12-20 20:47:34.898180
大佛像25|@| add|@| 343|@| 343|@| 陈|@| root|@| 2024-12-20 20:49:18.277989
大佛像2|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 20:50:30.566201
大佛像3|@| add|@| 00|@| 00|@| 陈|@| root|@| 2024-12-20 20:50:50.496917
大佛像4|@| add|@| 234|@| 234|@| 陈|@| root|@| 2024-12-20 20:51:49.141406
大佛像44|@| remove|@| 234|@| 0|@| 陈|@| root|@| 2024-12-20 21:06:56.356138
大佛像|@| remove|@| 1234|@| 0|@| 陈|@| root|@| 2024-12-20 21:07:08.114588
大佛像2|@| remove|@| 23|@| 0|@| 陈|@| root|@| 2024-12-20 21:07:12.369728
大佛像|@| add|@| 23|@| 23|@| 陈|@| root|@| 2024-12-20 21:08:25.454849
大佛像|@| add|@| 1|@|  24|@| 陈|@| root|@| 2024-12-20 21:10:41.167438
大佛像|@| add|@| 1|@|  25|@| 陈|@| root|@| 2024-12-20 21:10:45.810570
香|@| add|@| 1|@|  115|@| 陈|@| root|@| 2024-12-20 21:13:07.629652
香|@| add|@| 1|@|  116|@| 陈|@| root|@| 2024-12-20 21:14:07.663388
香|@| add|@| 1|@|  117|@| 陈|@| root|@| 2024-12-20 21:16:57.919253
香|@| remove|@| 1|@|  116|@| 陈|@| root|@| 2024-12-20 21:17:07.895781
蜡烛|@| add|@| 1|@|  227|@| 陈|@| root|@| 2024-12-20 21:17:15.673320
蜡烛|@| remove|@| 1|@|  226|@| 陈|@| root|@| 2024-12-20 21:17:18.295728
香|@| add|@| 1|@|  117|@| 陈|@| root|@| 2024-12-25 20:31:05.606927
大佛像|@| add|@| 1|@|  26|@| 陈|@| root|@| 2024-12-26 01:40:19.545615
香|@| add|@| 1|@|  118|@| 陈|@| root|@| 2024-12-26 01:40:35.214852
茶水|@| add|@| 1|@|  62|@| 陈|@| root|@| 2024-12-26 01:40:37.651651
香|@| add|@| 10|@|  128|@| 陈|@| root|@| 2024-12-29 10:26:56.360519
香|@| remove|@| 18|@|  110|@| 陈|@| root|@| 2024-12-29 10:27:04.722595
香|@| add|@| 1|@|  111|@| 陈|@| root|@| 2024-12-30 21:51:15.867651
香|@| remove|@| 1|@|  110|@| 陈|@| root|@| 2024-12-30 21:51:18.778469
香|@| add|@| 11|@|  121|@| 陈|@| root|@| 2024-12-30 21:51:23.716093
香|@| add|@| 1|@|  122|@| 陈|@| root|@| 2024-12-31 00:21:12.389446
油灯|@| remove|@| 1|@|  16|@| 陈|@| root|@| 2024-12-31 00:21:18.874334
供花|@| remove|@| 1|@|  36|@| 张三|@| 001|@| 2024-12-31 00:21:47.855745
香|@| add|@| 1|@|  123|@| 陈|@| root|@| 2024-12-31 00:46:21.493698
茶水B|@| add|@| 1|@|  61|@| 陈|@| root|@| 2024-12-31 00:46:52.363497
佛像清洁布B|@| remove|@| 1|@|  25|@| 陈|@| root|@| 2024-12-31 00:46:55.814118
供花C|@| add|@| 1|@|  36|@| 陈|@| root|@| 2024-12-31 00:46:59.659866
经书|@| add|@| 12|@|  56|@| 陈|@| root|@| 2024-12-31 12:19:58.153757
经书|@| add|@| 23|@|  79|@| 陈|@| root|@| 2024-12-31 12:26:47.105041
法器B|@| add|@| 23|@|  44|@| 陈|@| root|@| 2024-12-31 12:27:11.552682
法器|@| add|@| 178|@|  200|@| 陈|@| root|@| 2024-12-31 12:29:17.780713
法器E|@| add|@| 54|@|  74|@| 陈|@| root|@| 2024-12-31 12:29:26.294453
经书|@| add|@| 1|@|  80|@| 陈|@| root|@| 2024-12-31 12:32:08.459709
经书|@| add|@| 1|@|  81|@| 陈|@| root|@| 2024-12-31 12:34:54.735846
香|@| add|@| 1|@|  124|@| 陈|@| root|@| 2024-12-31 18:05:25.290234
香|@| add|@| 1|@| 73|@| 陈|@| root|@| 2025-01-25 17:41:33.381443
香|@| add|@| 40|@| 73|@| 陈|@| root|@| 2025-01-25 17:43:39.115113
香|@| add|@| 1|@| 73|@| 管理员|@| root|@| 2025-01-25 17:46:25.227573
蜡烛|@| add|@| 1|@| 18|@| 管理员|@| root|@| 2025-01-25 17:46:28.267852
